,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Visite virtuelle,Surface habitable,Surface du salon,Salle à manger,Surface de la cuisine,Chambres,Salles de bains,Cave,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,À partir de,Quartier ou lieu-dit,Type de cuisine,Toilettes,Surface de bureau,Bureau,Accessible aux personnes avec un handicap,Interphone vidéo,Attestation as-built,Adresse,Référence externe,Combien de feux ouverts ?,Dressing,Surface de la cave,Grenier,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Terrasse,Concierge,Ascenseur,Parlophone,Accès sécurisé / alarme,Piscine,Attestation de conformité des citernes à mazout,Site internet,Parkings intérieurs,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Largeur du terrain à rue,Permis de bâtir obtenu,Surface constructible totale au sol,Disponible le,Type d’environnement,Salles de douche,Surface du jardin,Parkings extérieurs,Salon,Nom du bien,Charges mensuelles,Revenu mensuel actuel,Nom de l'agent,Espace professionnel,Type de construction,Orientation du jardin,Climatisation,Jacuzzi,Sauna,Internet,Buanderie,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Pourcentage loué,Description libre du PEB,Obligation de construire,Isolé,Orientation de la terrasse,Informations supplémentaires,Surface du grenier,Nombre d'annexes
0,1918,À rafraîchir,12 m,2,360 m²,12 m²,Oui,38 m²,6,3,Oui,Non,Non,189 m²,Connecté,Oui,12 m²,74980 kWh/m²,G,20210531-0000589795-01-0,44 kg CO₂/m²,Non communiqué,74980,Gaz,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,1.350.000 €,1.963 €,Non,"Rue Archimède 17
1000 - Bruxelles ville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1899,Fraîchement rénové,,2,,568 m²,,,,3,3,Oui,Non,,196 m²,,,,450 kWh/m²,G,Non communiqué,96 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,1.200.000 €,2.424 €,Oui,Après la signature de l’acte,Européen,Équipée,5,515 m²,Oui,Oui,Oui,Non,"Rue de Tenbosch 85/117
1050 - Ixelles",1900 - 1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1900,Bon,9.6 m,2,,1350 m²,,,,,,,Non,Non,490 m²,Connecté,Oui,,434 kWh/m²,G,T20181120-002,134 kg CO₂/m²,Non communiqué,,Mazout,Non,Non,Non,Oui,Non,,,,,,3.200.000 €,13.401 €,Oui,Après la signature de l’acte,Mont des Arts,Équipée,,,Oui,Non,Non,Non,"Avenue Louise 404a
1050 - Ixelles",,1,Non,254 m²,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,6029007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2010,Excellent état,11 m,2,,460 m²,97 m²,Oui,33 m²,5,3,,Non,,175 m²,Connecté,Oui,,143 kWh/m²,C,20170629-00000507532-01-6,28 kg CO₂/m²,Non communiqué,,Gaz,,,Oui,,Oui,Oui,Non,Non,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),510.000 €,654 €,Oui,Après la signature de l’acte,,Américaine hyper-équipée,2,55 m²,Oui,Non,,,"Rue des Sablons 11 b02
1000 - Bruxelles",4457472,,,156 m²,,,,,,,,Non,Oui,,Non,,,1,31 m²,18 m²,41 m²,27 m²,28 m²,200 m²,11 m,Oui,460 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1920,Bon,,2,,300 m²,,,,5,4,Oui,Non,,152 m²,,,,356 kWh/m²,G,Non communiqué,112 kg CO₂/m²,Non communiqué,,Gaz,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.095.000 €,,Oui,Après la signature de l’acte,,Hyper équipée,4,,,Non,,,"Bld. Brand Whitlock 108
1200 - Woluwe-Saint-Lambert",4517847,,,,,,,,,Oui,,Non,Oui,,Non,,,,14 m²,16 m²,16 m²,14 m²,12 m²,,,,,1 décembre 2021 - 00:00,"Zone d'habitat (résidentiel, urbain ou rural)",1,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1918,À rafraîchir,12 m,2,360 m²,12 m²,Oui,38 m²,6,3,Oui,Non,Non,189 m²,Connecté,Oui,12 m²,74980 kWh/m²,G,20210531-0000589795-01-0,44 kg CO₂/m²,Non communiqué,74980,Gaz,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,1.350.000 €,1.963 €,Non,"Rue Archimède 17
1000 - Bruxelles ville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2012,Excellent état,,3,,450 m²,60 m²,,,5,5,,,,251 m²,,,,95 kWh/m²,B,201111210000032625,20 kg CO₂/m²,Non communiqué,,Gaz,,,,,,,,,Zone non inondable,,4.600.000 €,,Non,Après la signature de l’acte,Bruxelles Sud et Centre,Hyper équipée,6,,,Oui,,,"Avenue Louise 200
1050 - Bruxelles",,,,,,,,,,Oui,,Oui,,Oui,Oui,,4392998,1,40 m²,16 m²,16 m²,16 m²,,,,,,21 juin 2018 - 00:00,"Zone d'habitat (résidentiel, urbain ou rural)",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2012,Bon,5.9 m,2,258 m²,Équipée,,,,2,Oui,,Oui,Non,6.5 m,Non,198 m²,Non,Non communiqué,Non communiqué,39 kg CO₂/m²,Non communiqué,Gaz,,Oui,,,,,62 m²,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,599.000 €,2.839 €,Non,"Place Communale 8
1160 - Auderghem",Après la signature de l’acte,Bruxelles,4,,,Non,Oui,,,4515758,,,,,,,,,,,,Oui,Oui,,Non communiqué,,,1,,,,,,,Connecté,,Non,,Isolé,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1901,Excellent état,,2,,325 m²,,,,,,,,,99 m²,,,,1070 kWh/m²,G,Non communiqué,215 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,1.150.000 €,,Oui,Après la signature de l’acte,,,6,,,,,,"Avenue de la chasse 159
1040 - Etterbeek",,,,,,,,,,,,,,,,,4516870,1,,,,,,,,,,,Urbain,6,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
9,1900,À restaurer,,2,635 m²,Oui,,,,1,Oui,635 m²,,,Connecté,Oui,Oui,,F,001044319,80 kg CO₂/m²,Non communiqué,Gaz,,Oui,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.950.000 €,Non,,"Place Communale 8
1160 - Auderghem",Après la signature de l’acte,Bruxelles,3,,,Oui,Oui,Non,,4498919,,,,,,,,,,Oui,,Non,Oui,,325 kWh/m²,,,,,,,,,,,635 m²,Oui,11 mai 2021 - 00:00,Urbain,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,
